17,2,2,0,"8D","Flo","BK","Z4",,0,2.80000,,,,"20250904","20260708",0.01120,,,"Z4",,,,"Bn",,,,1,1,,,,,0,0,,,,,200000,2.00000,"8 BK 2 Flo",,,,0,
17,2,0,2,"8A","Dö","Mus","Mus2",,0,2.80000,,,,"20250904","20260708",0.01120,,,"Mus2",,,,"Bn",,,,1,1,,,,,0,0,,,,,200000,2.00000,"8 Mus Dö",,,,0,
17,2,0,0,"8B","Dö","Mus","Mus2",,0,2.80000,,,,"20250904","20260708",0.01120,,,"Mus2",,,,"Bn",,,,1,1,,,,,0,0,,,,,200000,2.00000,"8 Mus Dö",,,,0,
17,2,0,0,"8C","Dö","Mus","Mus2",,0,2.80000,,,,"20250904","20260708",0.01120,,,"Mus2",,,,"Bn",,,,1,1,,,,,0,0,,,,,200000,2.00000,"8 Mus Dö",,,,0,
17,2,0,0,"8D","Dö","Mus","Mus2",,0,2.80000,,,,"20250904","20260708",0.01120,,,"Mus2",,,,"Bn",,,,1,1,,,,,0,0,,,,,200000,2.00000,"8 Mus Dö",,,,0,
17,2,0,2,"8A","Wöh","BK","Z2",,0,2.80000,,,,"20250904","20260708",0.01120,,,"Z2",,,,"Bn",,,,1,1,,,,,0,0,,,,,200000,2.00000,"8 BK 1 Wöh",,,,0,
17,2,0,0,"8B","Wöh","BK","Z2",,0,2.80000,,,,"20250904","20260708",0.01120,,,"Z2",,,,"Bn",,,,1,1,,,,,0,0,,,,,200000,2.00000,"8 BK 1 Wöh",,,,0,
17,2,0,0,"8C","Wöh","BK","Z2",,0,2.80000,,,,"20250904","20260708",0.01120,,,"Z2",,,,"Bn",,,,1,1,,,,,0,0,,,,,200000,2.00000,"8 BK 1 Wöh",,,,0,
17,2,0,0,"8D","Wöh","BK","Z2",,0,2.80000,,,,"20250904","20260708",0.01120,,,"Z2",,,,"Bn",,,,1,1,,,,,0,0,,,,,200000,2.00000,"8 BK 1 Wöh",,,,0,
17,2,0,2,"8A","Jän","BK","Z1",,0,2.80000,,,,"20250904","20260708",0.01120,,,"Z1",,,,"Bn",,,,1,1,,,,,0,0,,,,,200000,2.00000,"8 BK 3 Jän",,,,0,
17,2,0,0,"8B","Jän","BK","Z1",,0,2.80000,,,,"20250904","20260708",0.01120,,,"Z1",,,,"Bn",,,,1,1,,,,,0,0,,,,,200000,2.00000,"8 BK 3 Jän",,,,0,
17,2,0,0,"8C","Jän","BK","Z1",,0,2.80000,,,,"20250904","20260708",0.01120,,,"Z1",,,,"Bn",,,,1,1,,,,,0,0,,,,,200000,2.00000,"8 BK 3 Jän",,,,0,
